True Values,Predictions,,mre,,AVE MRE,RMSE
30,29.03600658,,3.2133114,,4.389725264,0.229634347
22,21.95107007,,0.222408773,,,
16,16.71764073,,4.485254563,,,
12,12.80709979,,6.725831583,,,
14,14.57635118,,4.116794143,,,
26,26.55021191,,2.116199654,,,
32,33.38374439,,4.324201219,,,
28,28.54149353,,1.933905464,,,
14,14.47138399,,3.3670285,,,
18,19.83124881,,10.1736045,,,
12,13.26141346,,10.51177883,,,
20,20.72984305,,3.64921525,,,
26,23.27072382,,10.49721608,,,
32,32.93419424,,2.919357,,,
34,34.07226159,,0.212534088,,,
12,12.38642677,,3.220223083,,,
20,19.92790364,,0.3604818,,,
12,12.87233902,,7.269491833,,,
12,12.56414607,,4.70121725,,,
20,21.86061808,,9.3030904,,,
30,30.05241157,,0.174705233,,,
12,12.41176452,,3.431371,,,
20,20.94680342,,4.7340171,,,
30,30.96542269,,3.218075633,,,
28,23.88760792,,14.68711457,,,
22,22.20837904,,0.947177455,,,
26,26.52203612,,2.007831231,,,
24,22.60252967,,5.822793042,,,
14,14.60021001,,4.287214357,,,
32,33.3131605,,4.103626563,,,
22,22.19193688,,0.872440364,,,
24,23.2368923,,3.179615417,,,
18,18.73292514,,4.071806333,,,
